nombre;marca;categoria;sap;precio;paginaPdf;todasLasPaginas;notaPrecio
Zenú Salchichas Viena de Pollo 150 g x 6 unidades;Zenú;Cárnicos enlatados;;;159;159;código SAP recortado en la página (solo se ve ...0792)
Zenú Salchichas Viena sabor Limón 150 g x 6 unidades;Zenú;Cárnicos enlatados;;;159;159;código SAP recortado en la página (solo se ve ...20082)
CMU 3 Maíz Dulce Zenú 241 g;Zenú;Vegetales enlatados;1046289;;65;65;
CMU Frijoles Zenú 300 g x 4 un;Zenú;Vegetales enlatados;1080668;;66;66;
Zenú Arvejas al Natural 300 g;Zenú;Vegetales enlatados;1000080;;165;165;columna VALOR sin especificar tipo de precio
Zenú Arvejas al Natural 580 g;Zenú;Vegetales enlatados;1000081;;165;165;columna VALOR sin especificar tipo de precio
Zenú Arvejas con Zanahoria 300 g;Zenú;Vegetales enlatados;1000083;;165;165;columna VALOR sin especificar tipo de precio
Zenú Arvejas con Zanahoria 580 g;Zenú;Vegetales enlatados;1000084;;165;165;columna VALOR sin especificar tipo de precio
Zenú Ensalada con Maíz y Champiñones 220 g;Zenú;Vegetales enlatados;1000307;;166;166;columna VALOR sin especificar tipo de precio
Zenú Ensalada de Vegetales 300 g;Zenú;Vegetales enlatados;1000305;;166;166;columna VALOR sin especificar tipo de precio
Zenú Ensalada de Vegetales 580 g;Zenú;Vegetales enlatados;1000306;;166;166;columna VALOR sin especificar tipo de precio
Zenú Fríjoles 300 g;Zenú;Vegetales enlatados;1078791;;168;168;columna Precio sin especificar tipo
Zenú Fríjoles Antioqueños 580 g;Zenú;Vegetales enlatados;1037897;;168;168;columna Precio sin especificar tipo
Zenú Garbanzos al Natural 180 g;Zenú;Vegetales enlatados;1046735;;168;168;columna Precio sin especificar tipo
Zenú Garbanzos al Natural 440 g;Zenú;Vegetales enlatados;1046672;;168;168;columna Precio sin especificar tipo
Zenú Lentejas con Papa y Zanahoria 310 g;Zenú;Vegetales enlatados;1050030;;167;167;columna Precio sin especificar tipo
Zenú Maíz Dulce 241 g;Zenú;Vegetales enlatados;2011706;;164;164;columna VALOR sin especificar tipo de precio
Zenú Maíz Dulce 425 g;Zenú;Vegetales enlatados;2020368;;164;164;columna VALOR sin especificar tipo de precio
